ML Models,Feature Selection Setup,,,,,
,STFWI ,STM ,FWI ,M,,
NN,13.09±0.04 (64.5±0.0),13.92±0.60 (68.9±8.5),13.08±0.05 (64.6±0.1),13.71±0.69 (66.9±3.4),,
SVM,13.07±0.04 (64.7±0.0),13.13±0.02 (64.7±0.0),12.86±0.00 (64.7±0.0),12.71±0.01 (64.7±0.0),,
RF,13.31±0.02 (64.3±0.0),13.04±0.01 (64.5±0.0),13.38±0.05 (64.0±0.1),12.93±0.01 (64.4±0.0),,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ML Models,Feature Selection Setup,,,,,
,STFWI ,STM ,FWI ,M,,
NN,17.58±0.04 (7.0±0.0),34.48±0.60 (14.4±8.5),27.40±0.05 (7.05±0.1),31.35±0.69 (8.5±3.4),,
SVM,0.20±0.04 (0.09±0.0),0.20±0.02 (0.1±0.0),0.11±0.00 (0.0±0.0),0.12±0.01 (0.0+0.0),,
RF,96.26±0.02 (17.0±0.0),178.78±0.01 (76.5±0.0),277.09±0.05 (127.5±0.1),118.13±0.01 (22.7±0.0),,